step,epoch,loss
25.0,1.0,1450.4156665039063
50.0,1.0,584.7820251464843
75.0,2.0,302.9853466796875
100.0,2.0,233.6055615234375
125.0,3.0,196.47106018066407
150.0,3.0,181.83175506591797
175.0,3.0,162.16832489013672
200.0,4.0,155.4666860961914
225.0,4.0,146.92790100097656
250.0,5.0,134.58723205566406
275.0,5.0,120.9761392211914
300.0,5.0,114.54301025390625
325.0,6.0,111.45463287353516
350.0,6.0,111.75412200927734
375.0,7.0,101.69600036621094
400.0,7.0,101.63354034423828
425.0,8.0,100.50307189941407
450.0,8.0,90.17020477294922
475.0,8.0,96.30082794189452
500.0,9.0,89.14609405517578
525.0,9.0,93.02302215576172
550.0,10.0,89.66284103393555
575.0,10.0,93.82845458984374
600.0,10.0,88.01590789794922
625.0,11.0,91.14018753051758
650.0,11.0,90.09059112548829
675.0,12.0,84.75241561889648
700.0,12.0,80.24196060180664
725.0,13.0,90.70044250488282
750.0,13.0,79.60083724975586
775.0,13.0,85.76256225585938
800.0,14.0,89.85626693725585
825.0,14.0,79.49296356201172
850.0,15.0,79.18608856201172
875.0,15.0,81.37055297851562
900.0,15.0,81.29315322875976
925.0,16.0,78.69427597045899
950.0,16.0,86.2223875427246
975.0,17.0,70.93008407592774
1000.0,17.0,80.14558532714844
1025.0,18.0,78.6041569519043
1050.0,18.0,77.2172038269043
1075.0,18.0,71.9636767578125
1100.0,19.0,79.47910568237305
1125.0,19.0,78.7608625793457
1150.0,20.0,68.21703598022461
1175.0,20.0,77.28566223144531
1200.0,20.0,74.66197708129883
1225.0,21.0,70.59396011352538
1250.0,21.0,74.40570175170899
1275.0,22.0,77.25349853515625
1300.0,22.0,73.15995529174805
1325.0,23.0,75.32723556518555
1350.0,23.0,75.8437435913086
1375.0,23.0,73.46763275146485
1400.0,24.0,71.98709320068359
1425.0,24.0,75.11356552124023
1450.0,25.0,68.40350357055664
1475.0,25.0,66.21181869506836
1500.0,25.0,73.4360627746582
1525.0,26.0,74.95277145385742
1550.0,26.0,69.8200212097168
1575.0,27.0,64.79094863891602
1600.0,27.0,69.81499038696289
1625.0,28.0,71.00123657226563
1650.0,28.0,68.98741180419921
1675.0,28.0,67.74527984619141
1700.0,29.0,66.08029968261718
1725.0,29.0,65.9280110168457
1750.0,30.0,73.65481063842773
1775.0,30.0,71.57074264526368
1800.0,30.0,69.48498245239257
